,Unnamed: 0,participant,block,trial,direction,start_pos,start_pos_deg,t_start,t_end,stop_pos,stop_pos_deg,pos_pressed,pos_pressed_deg,error,error_deg,rt
57,57,P3,5,3,2,450.0,12.60412912808349,612.6523445060011,612.7690408999988,42.0,-1.1763853852877924,33.0,0.9243028027261226,-75.0,-2.1006881880139145,0.1267260310050915
59,59,P3,5,6,2,450.0,12.60412912808349,0.0,622.8193449300015,-84.0,2.3527707705755847,133.0,3.725220386744676,-49.0,-1.3724496161690911,0.1438273150051827
61,61,P3,5,1,2,450.0,12.60412912808349,633.5857797280041,633.9357993099984,126.0,-3.5291561558633773,-38.0,-1.06434868192705,-88.0,-2.4648074739363266,-0.0229891199996927
62,62,P3,5,2,2,450.0,12.60412912808349,639.3696280020013,639.6029093739999,84.0,-2.3527707705755847,44.0,1.2324037369681633,-128.0,-3.585174507543748,0.0938482220008154
63,63,P3,5,7,2,450.0,12.60412912808349,0.0,644.570271689001,-126.0,3.5291561558633773,141.0,3.94929379346616,-15.0,-0.420137637602783,0.1110404230057611
65,65,P3,5,4,2,450.0,12.60412912808349,655.3872678469997,655.3707194020026,-0.0,0.0,79.0,2.212724891374657,-79.0,-2.212724891374657,0.3270135540078627
68,68,P3,5,5,2,450.0,12.60412912808349,0.0,670.7031023649979,-42.0,1.1763853852877924,84.0,2.3527707705755847,-42.0,-1.1763853852877924,0.3597647720016539
71,71,P3,6,1,2,450.0,12.60412912808349,720.553832687001,720.9040709660039,126.0,-3.5291561558633773,-35.0,-0.9803211544064936,-91.0,-2.5488350014568835,-0.0400550639897119
73,73,P3,6,2,2,450.0,12.60412912808349,731.8039854570015,732.0373888320028,84.0,-2.3527707705755847,19.0,0.532174340963525,-103.0,-2.8849451115391096,0.3437122700051986
79,79,P3,6,4,2,450.0,12.60412912808349,764.5889757050027,764.572378101002,-0.0,0.0,91.0,2.5488350014568835,-91.0,-2.5488350014568835,0.0105361050082137
